category,url
cloture-panneau-grillage-brise-vue,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/cat_id_2424.cat
abri-de-jardin-garage-carport-et-rangement-exterieur,https://www.castorama.fr/jardin-et-terrasse/abri-de-jardin-garage-carport-et-rangement/cat_id_2.cat
outil-motorise-de-jardin,https://www.castorama.fr/jardin-et-terrasse/tondeuse-et-outil-motorise/cat_id_1456.cat
terrasse-et-sol-exterieur,https://www.castorama.fr/jardin-et-terrasse/terrasse-et-sol-exterieur/cat_id_3267.cat
jardinage,https://www.castorama.fr/jardinage/cat_id_0004335.cat
portail-portillon-porte-de-garage-et-motorisation,https://www.castorama.fr/jardin-et-terrasse/portail-portillon-porte-de-garage-et-motorisation/cat_id_3404.cat
parasol-tonnelle-store-de-terrasse-et-voile-d-ombrage,https://www.castorama.fr/jardin-et-terrasse/parasol-tonnelle-store-de-terrasse-et-voile-d-ombrage/cat_id_1950.cat
salon-et-mobilier-de-jardin,https://www.castorama.fr/jardin-et-terrasse/salon-de-jardin-table-chaise-et-fauteuil-de-jardin/cat_id_1519.cat
piscine-et-spa,https://www.castorama.fr/jardin-et-terrasse/piscine-et-spa/cat_id_2181.cat
jeux-et-jouets,https://www.castorama.fr/jardin-et-terrasse/balancoire-trampoline-et-toboggan/cat_id_1277.cat
barbecue,https://www.castorama.fr/barbecue/cat_id_0003436.cat
plancha,https://www.castorama.fr/plancha/cat_id_0003437.cat
cuisine-d-exterieur,https://www.castorama.fr/cuisine-dexterieur/cat_id_0002246.cat
luminaire-et-eclairage-exterieur,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/cat_id_1112.cat
peinture-exterieure,https://www.castorama.fr/peinture/peinture-exterieure/cat_id_2865.cat
arche-treillage-et-decoration-du-jardin,https://www.castorama.fr/jardin-et-terrasse/fontaine-statue-et-decoration-du-jardin/cat_id_1290.cat
animalerie,https://www.castorama.fr/jardin-et-terrasse/abri-de-jardin-garage-carport-et-rangement/niche-poulailler-abri-et-nourriture-pour-animaux/cat_id_23.cat
noel,https://www.castorama.fr/jardin-et-terrasse/noel/cat_id_0001879.cat
tout-pour-deneiger,https://www.castorama.fr/jardin-et-terrasse/tout-pour-deneiger/cat_id_0005916.cat
chauffe-eau,https://www.castorama.fr/plomberie/chauffe-eau/cat_id_2351.cat
adoucisseur-d-eau-et-filtre-anti-calcaire,https://www.castorama.fr/plomberie/adoucisseur-d-eau-et-filtre-anti-calcaire/cat_id_2268.cat
alimentation-en-eau,https://www.castorama.fr/plomberie/alimentation-en-eau/cat_id_2274.cat
evacuation-des-eaux,https://www.castorama.fr/plomberie/evacuation-des-eaux/cat_id_2361.cat
plomberie-wc,https://www.castorama.fr/plomberie/plomberie-wc/cat_id_0002033.cat
joint-et-clapet,https://www.castorama.fr/plomberie/joint-et-clapet/cat_id_2303.cat
outils-du-plombier,https://www.castorama.fr/plomberie/outils-du-plombier/cat_id_1867.cat
mastic-cartouche-joint-et-silicone,https://www.castorama.fr/materiaux-et-gros-oeuvre/materiaux/produit-d-etancheite/cartouche-joint-et-silicone/cat_id_592.cat
etancheite-sanitaire,https://www.castorama.fr/materiaux-et-gros-oeuvre/materiaux/produit-d-etancheite/etancheite-sanitaire/cat_id_2397.cat
soudure-de-plomberie,https://www.castorama.fr/plomberie/soudure-de-plomberie/cat_id_2409.cat
debouchage-canalisation,https://www.castorama.fr/plomberie/evacuation-des-eaux/entretien-et-debouchage/cat_id_2362.cat
bouteille-de-gaz-et-raccordement,https://www.castorama.fr/outillage/soudure/bouteille-de-gaz-et-raccordement/cat_id_1218.cat
trappe-de-visite,https://www.castorama.fr/plomberie/evacuation-des-eaux/trappe-de-visite/cat_id_2381.cat
visserie-boulonnerie-et-clouterie,https://www.castorama.fr/quincaillerie/vis-boulon-cheville-clou/cat_id_5273.cat
quincaillerie-de-meuble,https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/cat_id_2966.cat
quincaillerie-d-assemblage,https://www.castorama.fr/quincaillerie/fixation-et-quincaillerie-d-assemblage/cat_id_5272.cat
colle-et-adhesif,https://www.castorama.fr/quincaillerie/fixation-et-quincaillerie-d-assemblage/colle-et-adhesif/cat_id_4274.cat
boite-aux-lettres-et-accessoire,https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/boite-aux-lettres-et-accessoire/cat_id_2892.cat
quincaillerie-exterieure,https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/cat_id_5271.cat
serrure,https://www.castorama.fr/quincaillerie/serrure-verrou/cat_id_4667.cat
securite-des-biens,https://www.castorama.fr/securite-des-biens/cat_id_0004894.cat
securite-porte-et-fenetre,https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/securite-porte-et-fenetre/cat_id_3427.cat
tole-et-profile,https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/tole-et-profile/cat_id_2980.cat
corde-sangle-tendeur-chaine-et-cable,https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/cat_id_2945.cat
accessoire-pour-volet-fenetre-et-portail,https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/accessoire-pour-volet-fenetre-et-portail/cat_id_2879.cat
interrupteur-et-prise,https://www.castorama.fr/electricite/interrupteur-et-prise/cat_id_3446.cat
câble-fil-et-gaine-electrique,https://www.castorama.fr/electricite/cable-fil-et-gaine-electrique/cat_id_783.cat
tableau-electrique-et-protection,https://www.castorama.fr/electricite/tableau-electrique-et-protection/cat_id_2038.cat
rallonge-electrique-enrouleur-electrique-et-multiprise,https://www.castorama.fr/electricite/rallonge-electrique-enrouleur-electrique-et-multiprise/cat_id_1182.cat
douille-fiche-electrique-et-accessoire-luminaire,https://www.castorama.fr/electricite/douille-fiche-electrique-et-connexion-luminaire/cat_id_1239.cat
ampoule,https://www.castorama.fr/luminaire-et-eclairage/ampoule/cat_id_1289.cat
antenne-tv-decodeur-tnt-prise-de-telephone-et-informatique,https://www.castorama.fr/electricite/antenne-tv-decodeur-tnt-prise-de-telephone-et-informatique/cat_id_3741.cat
pile-et-rechargeable,https://www.castorama.fr/electricite/pile-et-rechargeable/cat_id_1258.cat
lampe-torche-baladeuse-et-projecteur-de-chantier,https://www.castorama.fr/electricite/lampe-torche-baladeuse-et-projecteur-de-chantier/cat_id_1255.cat
transformateur-convertisseur-et-chargeur-usb,https://www.castorama.fr/electricite/transformateur-convertisseur-et-chargeur-usb/cat_id_1214.cat
outils-d-electricien,https://www.castorama.fr/electricite/outils-d-electricien/cat_id_1875.cat
groupe-electrogene,https://www.castorama.fr/outillage/groupe-electrogene/cat_id_1625.cat
energie-solaire,https://www.castorama.fr/energie-solaire/cat_id_0003313.cat
peinture-interieure,https://www.castorama.fr/peinture/peinture-interieure/cat_id_3622.cat
reparation-et-traitement-du-bois-interieur-et-exterieur,https://www.castorama.fr/reparation-et-traitement-du-bois-interieur-et-exterieur/cat_id_0004289.cat
peinture-professionnelle,https://www.castorama.fr/peinture/peinture-exterieure/peinture-professionnelle/cat_id_5456.cat
creez-votre-peinture-sur-mesure,https://www.castorama.fr/peinture/peinture-interieure/peinture-sur-mesure/cat_id_5207.cat
sous-couche-peinture,https://www.castorama.fr/peinture/peinture-interieure/preparation-des-murs-et-plafonds/sous-couche/cat_id_2171.cat
preparation-des-murs-et-plafonds,https://www.castorama.fr/peinture/peinture-interieure/preparation-des-murs-et-plafonds/cat_id_2141.cat
outils-du-peintre,https://www.castorama.fr/peinture/outils-du-peintre/cat_id_1996.cat
droguerie-entretien-de-la-maison,https://www.castorama.fr/droguerie-entretien-de-la-maison/cat_id_3955.cat
luminaire-et-eclairage-interieur,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-interieur/cat_id_1340.cat
luminaire-et-eclairage-connectes,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-connectes/cat_id_5994.cat
guirlande-lumineuse,https://www.castorama.fr/guirlande-lumineuse/cat_id_0002066.cat
projecteur-et-lampe-de-chantier,https://www.castorama.fr/electricite/lampe-torche-baladeuse-et-projecteur-de-chantier/projecteur-et-lampe-de-chantier/cat_id_5306.cat
decoration-textile,https://www.castorama.fr/decoration-interieure/decoration-textile/cat_id_912.cat
papier-peint-et-fibre-de-verre,https://www.castorama.fr/decoration-interieure/papier-peint-et-revetement-mural/cat_id_2024.cat
decoration-murale-et-accessoires-deco,https://www.castorama.fr/decoration-interieure/decoration-murale-et-accessoires-deco/cat_id_5303.cat
store-et-panneau-japonais,https://www.castorama.fr/decoration-interieure/store/cat_id_1086.cat
outillage-electroportatif,https://www.castorama.fr/outillage/outillage-electroportatif/cat_id_3554.cat
outillage-a-main,https://www.castorama.fr/outillage/outillage-a-main/cat_id_1728.cat
outils-de-mesure-et-de-traçage,https://www.castorama.fr/outillage/outillage-a-main/metre-niveau-et-outils-de-mesure-et-tracage/cat_id_4371.cat
machine-d-atelier,https://www.castorama.fr/outillage/machine-stationnaire-d-atelier/cat_id_1589.cat
etabli-et-rangement-des-outils,https://www.castorama.fr/outillage/etabli-diable-et-rangement-des-outils/cat_id_1408.cat
outillage-par-metier,https://www.castorama.fr/outillage/outillage-par-metier/cat_id_0001943.cat
soudure,https://www.castorama.fr/outillage/soudure/cat_id_1893.cat
manutention-et-transport,https://www.castorama.fr/outillage/manutention-et-transport/cat_id_0001944.cat
aspirateur-et-nettoyeur,https://www.castorama.fr/outillage/aspirateur-et-nettoyeur/cat_id_1585.cat
escabeau-marche-pied-echelle-et-echafaudage,https://www.castorama.fr/outillage/escabeau-marche-pied-echelle-et-echafaudage/cat_id_1595.cat
materiel-de-chantier,https://www.castorama.fr/outillage/materiel-de-chantier/cat_id_720.cat
equipement-de-protection-individuelle,https://www.castorama.fr/outillage/vetement-chaussures-et-protection/cat_id_1923.cat
equipement-et-accessoires-pour-velo-et-trottinette,https://www.castorama.fr/outillage/equipement-et-accessoires-pour-velo-et-trottinette/cat_id_0002013.cat
equipement-et-accessoires-auto,https://www.castorama.fr/outillage/outillage-a-main/cable-chargeur-et-accessoires-de-voiture/cat_id_5302.cat
graisse-et-lubrifiant,https://www.castorama.fr/jardin-et-terrasse/tondeuse-et-outil-motorise/huile-piece-de-rechange-et-accessoire-pour-outil-motorise/jerrican-d-essence-graisse-et-lubrifiant/cat_id_2678.cat
pistolet-a-peinture-decolleuse-et-decapeur,https://www.castorama.fr/outillage/pistolet-a-peinture-decolleuse-et-decapeur/cat_id_2329.cat
materiaux-bois,https://www.castorama.fr/menuiserie/panneau-bois-lambris-tablette-tasseau-moulure-et-plinthe/cat_id_163.cat
materiaux-verre,https://www.castorama.fr/menuiserie/fenetre-fenetre-de-toit-volet/verre-et-occultation/verre/cat_id_822.cat
escalier-barriere-de-securite-balustrade-et-garde-corps,https://www.castorama.fr/menuiserie/escalier-rampe-et-balustrade/cat_id_3553.cat
fenetre,https://www.castorama.fr/menuiserie/fenetre-fenetre-de-toit-volet/fenetre/cat_id_4337.cat
porte-fenetre,https://www.castorama.fr/porte-fenetre/cat_id_0001953.cat
baie-vitree,https://www.castorama.fr/baie-vitree/cat_id_0001952.cat
fenetre-de-toit,https://www.castorama.fr/menuiserie/fenetre-fenetre-de-toit-volet/fenetre-de-toit-et-accessoire/cat_id_4314.cat
volet,https://www.castorama.fr/menuiserie/fenetre-fenetre-de-toit-volet/volet-et-accessoire/cat_id_2580.cat
porte-interieure,https://www.castorama.fr/menuiserie/porte-interieure/cat_id_3520.cat
porte-exterieure,https://www.castorama.fr/menuiserie/porte-exterieure-de-service-et-porte-de-garage/cat_id_3522.cat
porte-de-garage,https://www.castorama.fr/jardin-et-terrasse/portail-portillon-porte-de-garage-et-motorisation/porte-de-garage/cat_id_2556.cat
separateur-de-piece,https://www.castorama.fr/materiaux-et-gros-oeuvre/separateur-de-piece/cat_id_5269.cat
moustiquaire,https://www.castorama.fr/menuiserie/fenetre-fenetre-de-toit-volet/moustiquaire/cat_id_2539.cat
menuiserie-sur-mesure,https://www.castorama.fr/menuiserie/menuiserie-sur-mesure/cat_id_5052.cat
materiaux-de-construction,https://www.castorama.fr/materiaux-et-gros-oeuvre/materiau-poudre-et-agregat/cat_id_667.cat
isolation,https://www.castorama.fr/materiaux-et-gros-oeuvre/isolation/cat_id_3475.cat
cloison,https://www.castorama.fr/materiaux-et-gros-oeuvre/cloison/cat_id_562.cat
toiture-charpente-et-couverture,https://www.castorama.fr/materiaux-et-gros-oeuvre/toiture-charpente-et-couverture/cat_id_473.cat
revetement-du-mur-exterieur,https://www.castorama.fr/materiaux-et-gros-oeuvre/materiaux/revetement-de-la-facade/cat_id_794.cat
traitement-et-evacuation-des-eaux,https://www.castorama.fr/materiaux-et-gros-oeuvre/materiaux/evacuation-des-eaux-et-assainissement/cat_id_599.cat
etancheite,https://www.castorama.fr/materiaux-et-gros-oeuvre/materiaux/produit-d-etancheite/cat_id_580.cat
